Brand,Model,Form Factor,Cybenetics Rating,20W Efficiency,40W Efficiency,60W Efficiency,80W Efficiency,Report Link
Asus,TUF-450B-GAMING,ATX12V,SILVER,"75,35%","83,23%","85,93%","87,12%",https://www.cybenetics.com/d/cybenetics_Ffx.pdf
1st Player,Steampunk 750W (#2),ATX12V,PLATINUM,"75,30%","84,03%","87,23%","89,24%",https://www.cybenetics.com/d/cybenetics_jXy.pdf
Montech,Titan Gold 1200W,ATX12V,GOLD,"75,28%","80,88%","85,54%","85,43%",https://www.cybenetics.com/d/cybenetics_uc2.pdf
XPG,Core Reactor 850W,ATX12V,PLATINUM,"75,28%","81,04%","82,97%","86,10%",https://www.cybenetics.com/d/cybenetics_Vz9.pdf
Seasonic,Vertex GX-850,ATX12V,PLATINUM,"75,26%","81,16%","83,48%","84,77%",https://www.cybenetics.com/d/cybenetics_ZH9.pdf
Thermaltake,Toughpower PF1 650W,ATX12V,GOLD,"75,26%","83,91%","87,39%","88,82%",https://www.cybenetics.com/d/cybenetics_Adl.pdf
Bitfenix,Whisper 550W,ATX12V,SILVER,"75,20%","83,79%","86,99%","88,56%",https://www.cybenetics.com/d/cybenetics_Ezh.pdf
Corsair,RM1000e ATX 3.0,ATX12V,PLATINUM,"75,19%","82,13%","81,39%","84,79%",https://www.cybenetics.com/d/cybenetics_wwW.pdf
SilverStone,Strider Titanium 600W,ATX12V,BRONZE,"75,12%","84,67%","90,64%","91,63%",https://www.cybenetics.com/d/cybenetics_8mu.pdf
Thermaltake,Toughpower PF1 750W,ATX12V,GOLD,"75,12%","83,66%","86,97%","89,16%",https://www.cybenetics.com/d/cybenetics_NZd.pdf
Cooler Master,V850 Gold (Version 2),ATX12V,PLATINUM,"75,11%","79,37%","84,12%","86,38%",https://www.cybenetics.com/d/cybenetics_TUc.pdf
Asus,ROG-LOKI-850P-SFX-L-GAMING,SFX-L,PLATINUM,"75,02%","84,04%","87,08%","88,91%",https://www.cybenetics.com/d/cybenetics_6G1.pdf
Seasonic,Vertex GX-1200,ATX12V,PLATINUM,"74,98%","81,90%","83,81%","85,86%",https://www.cybenetics.com/d/cybenetics_wkC.pdf
EVGA,SuperNOVA 550 G3,ATX12V,SILVER,"74,95%","83,34%","86,38%","87,69%",https://www.cybenetics.com/d/cybenetics_GLO.pdf
Corsair,SF450 Platinum,SFX,PLATINUM,"74,92%","84,92%","88,29%","89,83%",https://www.cybenetics.com/d/cybenetics_r7x.pdf
Seasonic,Focus SGX-500W (#2),SFX-L,GOLD,"74,78%","83,33%","86,39%","87,94%",https://www.cybenetics.com/d/cybenetics_C95.pdf
Corsair,HX850 (2021),ATX12V,GOLD,"74,75%","80,87%","85,01%","87,54%",https://www.cybenetics.com/d/cybenetics_rQb.pdf
SilverStone,Nightjar 450W,SFX-L,,"74,74%","82,49%","85,17%","89,61%",https://www.cybenetics.com/d/cybenetics_qU5.pdf
SilverStone,Strider Titanium 800W,ATX12V,GOLD,"74,74%","84,81%","88,79%","91,65%",https://www.cybenetics.com/d/cybenetics_IJj.pdf
be quiet!,Pure Power 11 FM 1000W,ATX12V,PLATINUM,"74,70%","81,99%","84,02%","84,24%",https://www.cybenetics.com/d/cybenetics_0L1.pdf
Thermaltake,Toughpower PF1 750W (#2),ATX12V,GOLD,"74,67%","83,42%","87,16%","88,64%",https://www.cybenetics.com/d/cybenetics_bIe.pdf
Lian Li,SP850,SFX,PLATINUM,"74,64%","83,61%","87,20%","88,93%",https://www.cybenetics.com/d/cybenetics_9YX.pdf
XPG,Core Reactor II 750W,ATX12V,PLATINUM,"74,63%","80,96%","83,15%","86,32%",https://www.cybenetics.com/d/cybenetics_tXm.pdf
Asus,ROG-STRIX-1200G-AURA-GAMING,ATX12V,GOLD,"74,61%","79,64%","81,61%","83,28%",https://www.cybenetics.com/d/cybenetics_DmN.pdf
Enermax,Revolution D.F.X 1050W,ATX12V,PLATINUM,"74,50%","83,45%","86,96%","88,38%",https://www.cybenetics.com/d/cybenetics_WGc.pdf
FSP Technology Inc.,Hydro Ti Pro 1000W,ATX12V,TITANIUM,"74,49%","84,79%","89,12%","90,79%",https://www.cybenetics.com/d/cybenetics_sM2.pdf
be quiet!,Dark Power 13 1000W,ATX12V,PLATINUM,"74,48%","84,83%","88,43%","90,04%",https://www.cybenetics.com/d/cybenetics_iPc.pdf
XPG,Core Reactor II 1200W,ATX12V,PLATINUM,"74,45%","79,68%","83,10%","84,03%",https://www.cybenetics.com/d/cybenetics_Gim.pdf
1st Player,Steampunk 750W,ATX12V,PLATINUM,"74,36%","83,72%","87,25%","88,90%",https://www.cybenetics.com/d/cybenetics_mG9.pdf
Micronics,Classic II Full Change 800W,ATX12V,SILVER,"74,33%","83,12%","86,43%","87,46%",https://www.cybenetics.com/d/cybenetics_7rk.pdf
be quiet!,Dark Power 13 850W,ATX12V,TITANIUM,"74,32%","83,81%","87,22%","88,68%",https://www.cybenetics.com/d/cybenetics_13A.pdf
SilverStone,SFX-L 800W,SFX-L,SILVER,"74,32%","84,04%","89,46%","91,42%",https://www.cybenetics.com/d/cybenetics_Rr9.pdf
Seasonic,Vertex GX-1000,ATX12V,PLATINUM,"74,17%","80,77%","83,30%","84,80%",https://www.cybenetics.com/d/cybenetics_7HL.pdf
Asus,ROG-STRIX-1000G-AURA-GAMING,ATX12V,GOLD,"74,14%","80,10%","82,49%","84,34%",https://www.cybenetics.com/d/cybenetics_eqb.pdf
XPG,Cybercore II 1000 Platinum,ATX12V,PLATINUM,"74,14%","81,25%","79,80%","82,15%",https://www.cybenetics.com/d/cybenetics_gE3.pdf
Chieftronic,PowerPlay 750W,ATX12V,GOLD,"74,06%","83,37%","86,62%","88,31%",https://www.cybenetics.com/d/cybenetics_gRz.pdf
Bitfenix,Formula Gold 550W (#2),ATX12V,PLATINUM,"74,05%","82,93%","86,38%","88,15%",https://www.cybenetics.com/d/cybenetics_I1p.pdf
Kolink,SFX-350,SFX,BRONZE,"74,03%","81,61%","84,48%","85,71%",https://www.cybenetics.com/d/cybenetics_isr.pdf
be quiet!,Straight Power 11 Platinum 650W,ATX12V,PLATINUM,"74,02%","82,91%","86,91%","88,59%",https://www.cybenetics.com/d/cybenetics_Z1L.pdf
Corsair,RM850e ATX 3.0,ATX12V,GOLD,"74,01%","74,50%","80,14%","83,60%",https://www.cybenetics.com/d/cybenetics_xP0.pdf
Seasonic,Core GX-500,ATX12V,BRONZE,"73,99%","82,49%","85,88%","87,48%",https://www.cybenetics.com/d/cybenetics_QUb.pdf
Asus,TUF-550B-GAMING (#2),ATX12V,SILVER,"73,95%","82,79%","85,91%","87,47%",https://www.cybenetics.com/d/cybenetics_nLK.pdf
SilverStone,SFX Platinum 750W,SFX,PLATINUM,"73,90%","82,10%","84,95%","86,76%",https://www.cybenetics.com/d/cybenetics_WSp.pdf
Corsair,HX1000i (2022),ATX12V,PLATINUM,"73,87%","80,62%","83,44%","87,26%",https://www.cybenetics.com/d/cybenetics_OLZ.pdf
be quiet!,System Power U9 400W,ATX12V,SILVER,"73,80%","81,84%","84,43%","85,75%",https://www.cybenetics.com/d/cybenetics_HsR.pdf
SilverStone,HELA 1200R Platinum,ATX12V,PLATINUM,"73,77%","82,85%","83,98%","85,62%",https://www.cybenetics.com/d/cybenetics_iu5.pdf
Seasonic,Prime Platinum 1000W (#2),ATX12V,PLATINUM,"73,75%","83,16%","87,04%","89,01%",https://www.cybenetics.com/d/cybenetics_03y.pdf
Seasonic,Prime Platinum Ultra 1000W,ATX12V,PLATINUM,"73,75%","83,36%","87,25%","89,21%",https://www.cybenetics.com/d/cybenetics_zGm.pdf
be quiet!,Straight Power 11 Platinum 550W,ATX12V,PLATINUM,"73,74%","82,79%","86,43%","88,29%",https://www.cybenetics.com/d/cybenetics_j4q.pdf
Asus,TUF-650B-GAMING,ATX12V,GOLD,"73,71%","82,30%","85,52%","87,33%",https://www.cybenetics.com/d/cybenetics_u9D.pdf
MSI,MEG Ai1000P PCIE5,ATX12V,PLATINUM,"73,64%","81,47%","84,48%","84,32%",https://www.cybenetics.com/d/cybenetics_9bk.pdf
Asus,TUF-550B-GAMING,ATX12V,SILVER,"73,63%","82,04%","85,20%","86,84%",https://www.cybenetics.com/d/cybenetics_RY4.pdf
EVGA,SuperNOVA 850 G6,ATX12V,GOLD,"73,63%","79,34%","82,06%","84,30%",https://www.cybenetics.com/d/cybenetics_Th8.pdf
Deepcool,DQ650-M,ATX12V,GOLD,"73,58%","82,91%","86,28%","88,05%",https://www.cybenetics.com/d/cybenetics_EH0.pdf
Fractal Design,ION SFX G 500,SFX-L,GOLD,"73,56%","82,43%","85,96%","87,17%",https://www.cybenetics.com/d/cybenetics_5Mo.pdf
MSI,MPG A650GF,ATX12V,GOLD,"73,48%","83,04%","86,64%","88,68%",https://www.cybenetics.com/d/cybenetics_7QW.pdf
MSI,MEG Ai1000P PCIE5 (#2),ATX12V,PLATINUM,"73,39%","75,32%","79,23%","81,89%",https://www.cybenetics.com/d/cybenetics_B0s.pdf
Seasonic,Focus SGX 500W,SFX-L,SILVER,"73,34%","82,53%","86,13%","87,35%",https://www.cybenetics.com/d/cybenetics_Va6.pdf
Thermaltake,Toughpower PF1 850W (#2),ATX12V,PLATINUM,"73,26%","83,31%","85,54%","88,77%",https://www.cybenetics.com/d/cybenetics_jr1.pdf
XPG,Core Reactor II 850W,ATX12V,PLATINUM,"73,22%","79,91%","82,97%","86,17%",https://www.cybenetics.com/d/cybenetics_YHl.pdf
Bitfenix,Whisper 650W,ATX12V,GOLD,"73,20%","82,62%","86,12%","87,78%",https://www.cybenetics.com/d/cybenetics_peE.pdf
Super Flower,Leadex VII XG 850W,ATX12V,PLATINUM,"73,18%","81,77%","86,12%","88,02%",https://www.cybenetics.com/d/cybenetics_dlA.pdf
Bitfenix,Formula Gold 450W (#2),ATX12V,GOLD,"73,17%","82,93%","85,82%","87,88%",https://www.cybenetics.com/d/cybenetics_4BO.pdf
EVGA,SuperNOVA 850 G3 (Sample #2),ATX12V,BRONZE,"73,17%","82,09%","85,13%","84,92%",https://www.cybenetics.com/d/cybenetics_Wd4.pdf
Lian Li,SP750,SFX,PLATINUM,"73,17%","81,32%","84,81%","86,89%",https://www.cybenetics.com/d/cybenetics_V7n.pdf
SilverStone,Strider Platinum 550W,ATX12V,GOLD,"73,16%","83,04%","86,96%","88,99%",https://www.cybenetics.com/d/cybenetics_Zx9.pdf
Super Flower,Leadex III Gold ARGB 750W,ATX12V,SILVER,"73,16%","82,06%","85,63%","86,97%",https://www.cybenetics.com/d/cybenetics_ybG.pdf
Seasonic,Prime Gold Ultra 1000W (#2),ATX12V,PLATINUM,"73,14%","82,44%","86,17%","87,60%",https://www.cybenetics.com/d/cybenetics_I2r.pdf
Super Flower,Leadex III Gold ARGB 850W (#2),ATX12V,GOLD,"73,14%","81,95%","85,57%","86,77%",https://www.cybenetics.com/d/cybenetics_4du.pdf
Thermaltake,Toughpower GF A3 750W,ATX12V,PLATINUM,"73,13%","82,52%","86,57%","88,30%",https://www.cybenetics.com/d/cybenetics_0Bh.pdf
Cooler Master,XG 650,ATX12V,PLATINUM,"73,01%","82,79%","86,74%","88,46%",https://www.cybenetics.com/d/cybenetics_pbJ.pdf
Super Flower,Leadex III Gold 750W rev.1,ATX12V,BRONZE,"72,98%","10,00%","20,00%","30,00%",https://www.cybenetics.com/d/cybenetics_uIV.pdf
Micronics,Classic II Full Change 600W,ATX12V,BRONZE,"72,94%","78,38%","82,03%","83,82%",https://www.cybenetics.com/d/cybenetics_bwz.pdf
Super Flower,Leadex III Gold ARGB 750W (#2),ATX12V,SILVER,"72,91%","81,69%","85,40%","86,88%",https://www.cybenetics.com/d/cybenetics_VdN.pdf
SilverStone,Strider Essential 400W 230V,ATX12V,BRONZE,"72,90%","81,05%","84,04%","85,49%",https://www.cybenetics.com/d/cybenetics_eSo.pdf
Super Flower,Leadex III  Gold ARGB 850W,ATX12V,GOLD,"72,90%","82,30%","85,65%","87,04%",https://www.cybenetics.com/d/cybenetics_5Np.pdf
